freq,period,carry_long,carry_short,spot_long,spot_short,total,gross,resid,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
ME,2012-04-30,0.00986301303463277,0.00018836146736262953,-0.020665925445143247,-0.02320515978837503,-0.03381971073152288,-0.03381971073152287,-8.673617379884035e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-05-31,0.012744299474205719,-5.000654305856544e-05,-0.13019513717075074,0.06809541035619604,-0.04940543388340753,-0.04940543388340753,9.75781955236954e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-06-30,0.008964780798634017,0.00026457941228942995,0.04514246812210727,-0.022503195508698216,0.0318686328243325,0.03186863282433249,1.1031757105040008e-17,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-07-31,0.008161503448394546,0.0003276971723944767,-0.007277404759192121,0.003776424643255751,0.004988220504852653,0.004988220504852649,4.662069341687669e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-08-31,0.007744481556824923,0.00028784022065367896,-0.007962780712502296,-0.012640291681895535,-0.01257075061691923,-0.012570750616919226,-2.8189256484623115e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-09-30,0.008115968271362775,0.00025950742310547353,0.03746650197580077,-0.030531806952723704,0.015310170717545313,0.015310170717545313,3.2526065174565133e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-10-31,0.01246412274037511,0.00040726036127289024,-0.02826577865449217,0.0022888186595044764,-0.013105576893339696,-0.013105576893339705,8.131516293641283e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-11-30,0.011818827478532778,0.000371474749080497,-0.010100362181034125,0.0195966971600341,0.021686637206613252,0.02168663720661325,3.0357660829594124e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-12-31,0.011133936860780996,0.0008557937563395216,0.058215690894824354,0.012022427739551856,0.08222784925149672,0.08222784925149672,4.336808689942018e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-01-31,0.011894021563780268,0.0007049733367298111,0.02706891541137804,0.012183790062019665,0.05185170037390778,0.05185170037390778,1.0842021724855044e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-02-28,0.009738646979518756,0.000904631654986757,-0.049395699936050134,0.03153278532841045,-0.007219635973134165,-0.007219635973134163,-2.168404344971009e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-03-31,0.012132749043877709,-2.3117411673413738e-05,-0.026417818101185386,0.01737952948598666,0.0030713430170055756,0.0030713430170055678,5.664956351236761e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-04-30,0.011469645801172348,2.9432890119118982e-05,0.02029570052867379,-0.000657818722093151,0.031136960497872103,0.031136960497872106,-4.553649124439119e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-05-31,0.01301008486928837,0.00017607681112246135,-0.11282720132888963,0.07486999052400364,-0.02477104912447515,-0.024771049124475142,-3.469446951953614e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-06-30,0.00858264327506806,9.771803775583034e-05,-0.05241959524070238,-0.004248237533133199,-0.047987471461011684,-0.047987471461011684,-7.15573433840433e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
